ano,mes,patamar,duracao
2017,1,1,0.2366
2017,2,1,0.2184
2017,3,1,0.2366
2017,4,1,0.2778
2017,5,1,0.3226
2017,6,1,0.35
2017,7,1,0.371
2017,8,1,0.3387
2017,9,1,0.2917
2017,10,1,0.2823
2017,11,1,0.2222
2017,12,1,0.2366
2017,1,2,0.2728
2017,2,2,0.2615
2017,3,2,0.2728
2017,4,2,0.2222
2017,5,2,0.1935
2017,6,2,0.1958
2017,7,2,0.1976
2017,8,2,0.1949
2017,9,2,0.225
2017,10,2,0.2231
2017,11,2,0.2639
2017,12,2,0.2728
2017,1,3,0.4906
2017,2,3,0.5201
2017,3,3,0.4906
2017,4,3,0.5
2017,5,3,0.4839
2017,6,3,0.4542
2017,7,3,0.4314
2017,8,3,0.4664
2017,9,3,0.4833
2017,10,3,0.4946
2017,11,3,0.5139
2017,12,3,0.4906
2018,1,1,0.2151
2018,2,1,0.2262
2018,3,1,0.2473
2018,4,1,0.2778
2018,5,1,0.3387
2018,6,1,0.35
2018,7,1,0.3548
2018,8,1,0.3548
2018,9,1,0.2917
2018,10,1,0.2688
2018,11,1,0.2222
2018,12,1,0.2473
2018,1,2,0.2594
2018,2,2,0.2664
2018,3,2,0.2796
2018,4,2,0.2222
2018,5,2,0.1949
2018,6,2,0.1958
2018,7,2,0.1962
2018,8,2,0.1962
2018,9,2,0.225
2018,10,2,0.2204
2018,11,2,0.2639
2018,12,2,0.2796
2018,1,3,0.5255
2018,2,3,0.5074
2018,3,3,0.4731
2018,4,3,0.5
2018,5,3,0.4664
2018,6,3,0.4542
2018,7,3,0.449
2018,8,3,0.449
2018,9,3,0.4833
2018,10,3,0.5108
2018,11,3,0.5139
2018,12,3,0.4731
2019,1,1,0.2258
2019,2,1,0.2381
2019,3,1,0.2366
2019,4,1,0.2639
2019,5,1,0.3548
2019,6,1,0.35
2019,7,1,0.3387
2019,8,1,0.371
2019,9,1,0.2917
2019,10,1,0.2688
2019,11,1,0.2222
2019,12,1,0.2366
2019,1,2,0.2661
2019,2,2,0.2738
2019,3,2,0.2728
2019,4,2,0.2194
2019,5,2,0.1962
2019,6,2,0.1958
2019,7,2,0.1949
2019,8,2,0.1976
2019,9,2,0.225
2019,10,2,0.2204
2019,11,2,0.2639
2019,12,2,0.2728
2019,1,3,0.5081
2019,2,3,0.4881
2019,3,3,0.4906
2019,4,3,0.5167
2019,5,3,0.449
2019,6,3,0.4542
2019,7,3,0.4664
2019,8,3,0.4314
2019,9,3,0.4833
2019,10,3,0.5108
2019,11,3,0.5139
2019,12,3,0.4906
2020,1,1,0.2366
2020,2,1,0.2262
2020,3,1,0.2473
2020,4,1,0.25
2020,5,1,0.3548
2020,6,1,0.35
2020,7,1,0.3387
2020,8,1,0.371
2020,9,1,0.2778
2020,10,1,0.2823
2020,11,1,0.2222
2020,12,1,0.2151
2020,1,2,0.2728
2020,2,2,0.2664
2020,3,2,0.2796
2020,4,2,0.2167
2020,5,2,0.1962
2020,6,2,0.1958
2020,7,2,0.1949
2020,8,2,0.1976
2020,9,2,0.2222
2020,10,2,0.2231
2020,11,2,0.2639
2020,12,2,0.2594
2020,1,3,0.4906
2020,2,3,0.5074
2020,3,3,0.4731
2020,4,3,0.5333
2020,5,3,0.449
2020,6,3,0.4542
2020,7,3,0.4664
2020,8,3,0.4314
2020,9,3,0.5
2020,10,3,0.4946
2020,11,3,0.5139
2020,12,3,0.5255
2021,1,1,0.2366
2021,2,1,0.2299
2021,3,1,0.2151
2021,4,1,0.3056
2021,5,1,0.3387
2021,6,1,0.3333
2021,7,1,0.371
2021,8,1,0.3548
2021,9,1,0.2917
2021,10,1,0.3091
2021,11,1,0.2222
2021,12,1,0.2258
2021,1,2,0.2728
2021,2,2,0.2687
2021,3,2,0.2594
2021,4,2,0.2278
2021,5,2,0.1949
2021,6,2,0.1944
2021,7,2,0.1976
2021,8,2,0.1962
2021,9,2,0.225
2021,10,2,0.2285
2021,11,2,0.2639
2021,12,2,0.2661
2021,1,3,0.4906
2021,2,3,0.5014
2021,3,3,0.5255
2021,4,3,0.4666
2021,5,3,0.4664
2021,6,3,0.4723
2021,7,3,0.4314
2021,8,3,0.449
2021,9,3,0.4833
2021,10,3,0.4624
2021,11,3,0.5139
2021,12,3,0.5081